,Title,Topic Label,Accetpance,Difficulty,Frequency,Accepted,Submissions,Premium
2159,2159. Order Two Columns Independently,['Database'],61.20%,Medium,16.6236%;,4.5K,7.3K,Y
2160,2160. Minimum Sum of Four Digit Number After Splitting Digits,"['Math', 'Greedy', 'Sorting']",86.90%,Easy,47.0739%;,79.2K,91.1K,
2161,2161. Partition Array According to Given Pivot,"['Array', 'Two Pointers', 'Simulation']",84.80%,Medium,34.1274%;,45.9K,54.1K,
2162,2162. Minimum Cost to Set Cooking Time,"['Math', 'Enumeration']",39.90%,Medium,24.3803%;,13.3K,33.4K,
2163,2163. Minimum Difference in Sums After Removal of Elements,"['Array', 'Dynamic Programming', '1+']",47.60%,Hard,55.5428%;,7.5K,15.7K,
2164,2164. Sort Even and Odd Indices Independently,"['Array', 'Sorting']",65.10%,Easy,18.2526%;,42K,64.5K,
2165,2165. Smallest Value of the Rearranged Number,"['Math', 'Sorting']",51.40%,Medium,27.4362%;,27.8K,54.1K,
2166,2166. Design Bitset,"['Array', 'Hash Table', 'Design']",31.70%,Medium,19.0883%;,18.5K,58.3K,
2167,2167. Minimum Time to Remove All Cars Containing Illegal Goods,"['String', 'Dynamic Programming']",40.70%,Hard,0%;,10.3K,25.2K,
2168,2168. Unique Substrings With Equal Digit Frequency,"['Hash Table', 'String', 'Rolling Hash', '2+']",59.30%,Medium,0%;,1.7K,2.8K,Y
2169,2169. Count Operations to Obtain Zero,"['Math', 'Simulation']",75.10%,Easy,6.21537%;,51.6K,68.7K,
2170,2170. Minimum Operations to Make the Array Alternating,"['Array', 'Hash Table', 'Greedy', '1+']",33.20%,Medium,14.1068%;,19K,57.3K,
2171,2171. Removing Minimum Number of Magic Beans,"['Array', 'Sorting', 'Prefix Sum']",42.10%,Medium,27.3012%;,21K,49.9K,
2172,2172. Maximum AND Sum of Array,"['Array', 'Dynamic Programming', '2+']",48.30%,Hard,39.8147%;,10.5K,21.8K,
2173,2173. Longest Winning Streak,['Database'],54.20%,Hard,0%;,2.6K,4.8K,Y
2174,2174. Remove All Ones With Row and Column Flips II,"['Array', 'Bit Manipulation', '2+']",68.20%,Medium,0%;,4.1K,6K,Y
2175,2175. The Change in Global Rankings,['Database'],64.80%,Medium,0%;,3.9K,6K,Y
2176,2176. Count Equal and Divisible Pairs in an Array,['Array'],79.70%,Easy,5.32242%;,48.9K,61.3K,
2177,2177. Find Three Consecutive Integers That Sum to a Given Number,"['Math', 'Simulation']",64.00%,Medium,11.4586%;,32.4K,50.6K,
2178,2178. Maximum Split of Positive Even Integers,"['Math', 'Backtracking', 'Greedy']",59.30%,Medium,30.3128%;,37.9K,63.8K,
2179,2179. Count Good Triplets in an Array,"['Array', 'Binary Search', '5+']",38.50%,Hard,53.9226%;,5.9K,15.4K,
2180,2180. Count Integers With Even Digit Sum,"['Math', 'Simulation']",65.40%,Easy,12.4404%;,40.6K,62.1K,
2181,2181. Merge Nodes in Between Zeros,"['Linked List', 'Simulation']",86.40%,Medium,14.4731%;,69.7K,80.7K,
2182,2182. Construct String With Repeat Limit,"['String', 'Greedy', 'Heap (Priority Queue)', '1+']",52.40%,Medium,28.7601%;,16.8K,32.1K,
2183,2183. Count Array Pairs Divisible by K,"['Array', 'Math', 'Number Theory']",28.40%,Hard,42.6099%;,11.7K,41.2K,
2184,2184. Number of Ways to Build Sturdy Brick Wall,"['Array', 'Dynamic Programming', '2+']",50.20%,Medium,65.4099%;,5K,10K,Y
2185,2185. Counting Words With a Given Prefix,"['Array', 'String']",77.30%,Easy,19.3421%;,59.9K,77.4K,
2186,2186. Minimum Number of Steps to Make Two Strings Anagram II,"['Hash Table', 'String', 'Counting']",72.00%,Medium,0%;,31.1K,43.1K,
2187,2187. Minimum Time to Complete Trips,"['Array', 'Binary Search']",39.20%,Medium,68.4741%;,93.4K,238.2K,
2188,2188. Minimum Time to Finish the Race,"['Array', 'Dynamic Programming']",41.70%,Hard,46.6618%;,9.7K,23.3K,
2189,2189. Number of Ways to Build House of Cards,"['Math', 'Dynamic Programming']",62.70%,Medium,0%;,1.5K,2.4K,Y
2190,2190. Most Frequent Number Following Key In an Array,"['Array', 'Hash Table', 'Counting']",60.00%,Easy,20.5392%;,26.1K,43.6K,
2191,2191. Sort the Jumbled Numbers,"['Array', 'Sorting']",45.80%,Medium,0%;,16.1K,35.2K,
2192,2192. All Ancestors of a Node in a Directed Acyclic Graph,"['Depth-First Search', 'Breadth-First Search', '2+']",50.70%,Medium,32.0943%;,22.8K,45K,
2193,2193. Minimum Number of Moves to Make Palindrome,"['Two Pointers', 'String', 'Greedy', '1+']",51.30%,Hard,63.3253%;,16.9K,33K,
2194,2194. Cells in a Range on an Excel Sheet,['String'],85.10%,Easy,35.8925%;,46.1K,54.2K,
2195,2195. Append K Integers With Minimal Sum,"['Array', 'Math', 'Greedy', '1+']",25.00%,Medium,18.0312%;,25.6K,102.3K,
2196,2196. Create Binary Tree From Descriptions,"['Array', 'Hash Table', 'Tree', '3+']",72.30%,Medium,34.4617%;,25.8K,35.6K,
2197,2197. Replace Non-Coprime Numbers in Array,"['Array', 'Math', 'Stack', '1+']",38.60%,Hard,41.7749%;,11.5K,29.9K,
2198,2198. Number of Single Divisor Triplets,['Math'],56.00%,Medium,49.6993%;,787,1.4K,Y
2199,2199. Finding the Topic of Each Post,['Database'],49.30%,Hard,0%;,1.6K,3.3K,Y
2200,2200. Find All K-Distant Indices in an Array,['Array'],65.00%,Easy,9.32972%;,31K,47.6K,
2201,2201. Count Artifacts That Can Be Extracted,"['Array', 'Hash Table', 'Simulation']",55.30%,Medium,0%;,16.9K,30.5K,
2202,2202. Maximize the Topmost Element After K Moves,"['Array', 'Greedy']",22.80%,Medium,23.4761%;,22.3K,97.6K,
2203,2203. Minimum Weighted Subgraph With the Required Paths,"['Graph', 'Shortest Path']",35.90%,Hard,32.7945%;,9K,25K,
2204,2204. Distance to a Cycle in Undirected Graph,"['Depth-First Search', 'Breadth-First Search', '2+']",70.30%,Hard,0%;,2K,2.8K,Y
2205,2205. The Number of Users That Are Eligible for Discount,['Database'],50.30%,Easy,0%;,4K,7.9K,Y
2206,2206. Divide Array Into Equal Pairs,"['Array', 'Hash Table', 'Bit Manipulation', '1+']",73.90%,Easy,16.8742%;,51.4K,69.5K,
2207,2207. Maximize Number of Subsequences in a String,"['String', 'Greedy', 'Prefix Sum']",33.30%,Medium,32.1117%;,15.4K,46.1K,
2208,2208. Minimum Operations to Halve Array Sum,"['Array', 'Greedy', 'Heap (Priority Queue)']",45.40%,Medium,26.2365%;,20.1K,44.3K,
2209,2209. Minimum White Tiles After Covering With Carpets,"['String', 'Dynamic Programming', 'Prefix Sum']",34.20%,Hard,49.6993%;,9.6K,28.1K,
2210,2210. Count Hills and Valleys in an Array,['Array'],58.30%,Easy,51.7443%;,30.5K,52.2K,
2211,2211. Count Collisions on a Road,"['String', 'Stack']",42.30%,Medium,0%;,19.3K,45.5K,
2212,2212. Maximum Points in an Archery Competition,"['Array', 'Bit Manipulation', 'Recursion', '1+']",49.50%,Medium,53.14%;,12.4K,25.1K,
2213,2213. Longest Substring of One Repeating Character,"['Array', 'String', 'Segment Tree', '1+']",30.90%,Hard,0%;,3.4K,11.1K,
2214,2214. Minimum Health to Beat Game,"['Array', 'Greedy', 'Prefix Sum']",58.00%,Medium,63.2713%;,27.3K,47.1K,Y
2215,2215. Find the Difference of Two Arrays,"['Array', 'Hash Table']",70.40%,Easy,39.4782%;,49.6K,70.4K,
2216,2216. Minimum Deletions to Make Array Beautiful,"['Array', 'Stack', 'Greedy']",46.80%,Medium,34.1541%;,24.7K,52.8K,
2217,2217. Find Palindrome With Fixed Length,"['Array', 'Math']",34.00%,Medium,30.5193%;,14.2K,41.8K,
2218,2218. Maximum Value of K Coins From Piles,"['Array', 'Dynamic Programming', 'Prefix Sum']",48.20%,Hard,11.4586%;,13.8K,28.6K,
2219,2219. Maximum Sum Score of Array,"['Array', 'Prefix Sum']",60.70%,Medium,0%;,2.8K,4.6K,Y
2220,2220. Minimum Bit Flips to Convert Number,['Bit Manipulation'],82.30%,Easy,23.0472%;,36.6K,44.5K,
2221,2221. Find Triangular Sum of an Array,"['Array', 'Math', 'Simulation', '1+']",78.50%,Medium,40.9013%;,52.4K,66.8K,
2222,2222. Number of Ways to Select Buildings,"['String', 'Dynamic Programming', 'Prefix Sum']",51.30%,Medium,59.5121%;,25.7K,50K,
2223,2223. Sum of Scores of Built Strings,"['String', 'Binary Search', 'Rolling Hash', '3+']",37.40%,Hard,0%;,5.2K,13.9K,
2224,2224. Minimum Number of Operations to Convert Time,"['String', 'Greedy']",65.40%,Easy,0%;,31.5K,48.2K,
2225,2225. Find Players With Zero or One Losses,"['Array', 'Hash Table', 'Sorting', '1+']",72.60%,Medium,60.5593%;,89.1K,122.7K,
2226,2226. Maximum Candies Allocated to K Children,"['Array', 'Binary Search']",36.60%,Medium,25.4545%;,26K,71.1K,
2227,2227. Encrypt and Decrypt Strings,"['Array', 'Hash Table', 'String', '2+']",39.40%,Hard,45.7869%;,9.9K,25.1K,
2228,2228. Users With Two Purchases Within Seven Days,['Database'],44.10%,Medium,0%;,4.7K,10.7K,Y
2229,2229. Check if an Array Is Consecutive,['Array'],61.10%,Easy,0%;,3.9K,6.4K,Y
2230,2230. The Users That Are Eligible for Discount,['Database'],49.50%,Easy,0%;,3.3K,6.7K,Y
2231,2231. Largest Number After Digit Swaps by Parity,"['Sorting', 'Heap (Priority Queue)']",61.00%,Easy,42.0456%;,30.6K,50.2K,
2232,2232. Minimize Result by Adding Parentheses to Expression,"['String', 'Enumeration']",65.80%,Medium,72.768%;,15.1K,23K,
2233,2233. Maximum Product After K Increments,"['Array', 'Greedy', 'Heap (Priority Queue)']",41.10%,Medium,0%;,22.7K,55.1K,
2234,2234. Maximum Total Beauty of the Gardens,"['Array', 'Two Pointers', 'Binary Search', '2+']",28.50%,Hard,42.122%;,5.3K,18.7K,
2235,2235. Add Two Integers,['Math'],88.50%,Easy,83.9035%;,245.4K,277.1K,
2236,2236. Root Equals Sum of Children,"['Tree', 'Binary Tree']",84.80%,Easy,43.801%;,114.8K,135.5K,
2237,2237. Count Positions on Street With Required Brightness,"['Array', 'Prefix Sum']",64.70%,Medium,40.3369%;,1.9K,3K,Y
2238,2238. Number of Times a Driver Was a Passenger,['Database'],73.70%,Medium,0%;,4.2K,5.7K,Y
2239,2239. Find Closest Number to Zero,['Array'],45.50%,Easy,39.4436%;,37.5K,82.4K,
2240,2240. Number of Ways to Buy Pens and Pencils,"['Math', 'Enumeration']",56.90%,Medium,8.61622%;,20.1K,35.3K,
2241,2241. Design an ATM Machine,"['Array', 'Greedy', 'Design']",38.90%,Medium,13.5894%;,13.2K,34K,
2242,2242. Maximum Score of a Node Sequence,"['Array', 'Graph', 'Sorting', '1+']",37.90%,Hard,43.3256%;,9.5K,25K,
2243,2243. Calculate Digit Sum of a String,"['String', 'Simulation']",66.30%,Easy,28.5802%;,28.9K,43.5K,
2244,2244. Minimum Rounds to Complete All Tasks,"['Array', 'Hash Table', 'Greedy', '1+']",62.90%,Medium,89.2632%;,130.2K,206.9K,
2245,2245. Maximum Trailing Zeros in a Cornered Path,"['Array', 'Matrix', 'Prefix Sum']",35.00%,Medium,34.9923%;,6.9K,19.7K,
2246,2246. Longest Path With Different Adjacent Characters,"['Array', 'String', 'Tree', '3+']",55.80%,Hard,78.1535%;,65.2K,116.7K,
2247,2247. Maximum Cost of Trip With K Highways,"['Dynamic Programming', 'Bit Manipulation', '2+']",50.70%,Hard,40.3369%;,1.2K,2.3K,Y
2248,2248. Intersection of Multiple Arrays,"['Array', 'Hash Table', 'Counting']",68.70%,Easy,34.1274%;,46.6K,67.8K,
2249,2249. Count Lattice Points Inside a Circle,"['Array', 'Hash Table', 'Math', '2+']",50.50%,Medium,13.5894%;,18.2K,36K,
2250,2250. Count Number of Rectangles Containing Each Point,"['Array', 'Binary Search', '2+']",34.10%,Medium,13.5894%;,11.8K,34.7K,
2251,2251. Number of Flowers in Full Bloom,"['Array', 'Hash Table', 'Binary Search', '3+']",51.30%,Hard,30.7903%;,12.6K,24.5K,
2252,2252. Dynamic Pivoting of a Table,['Database'],57.90%,Hard,28.4803%;,784,1.4K,Y
2253,2253. Dynamic Unpivoting of a Table,['Database'],68.30%,Hard,0%;,480,703,Y
2254,2254. Design Video Sharing Platform,"['Hash Table', 'Stack', 'Design', '1+']",65.10%,Hard,0%;,1.4K,2.1K,Y
2255,2255. Count Prefixes of a Given String,"['Array', 'String']",72.90%,Easy,6.58461%;,38.6K,52.9K,
2256,2256. Minimum Average Difference,"['Array', 'Prefix Sum']",43.10%,Medium,69.427%;,74.7K,173.2K,
2257,2257. Count Unguarded Cells in the Grid,"['Array', 'Matrix', 'Simulation']",52.20%,Medium,0%;,13.2K,25.3K,
2258,2258. Escape the Spreading Fire,"['Array', 'Binary Search', '2+']",35.00%,Hard,43.0538%;,6.8K,19.3K,
2259,2259. Remove Digit From Number to Maximize Result,"['String', 'Greedy', 'Enumeration']",46.30%,Easy,24.5284%;,48.4K,104.6K,
2260,2260. Minimum Consecutive Cards to Pick Up,"['Array', 'Hash Table', 'Sliding Window']",51.20%,Medium,16.0671%;,40.1K,78.3K,
2261,2261. K Divisible Elements Subarrays,"['Array', 'Hash Table', 'Trie', '3+']",48.10%,Medium,0%;,20.5K,42.6K,
2262,2262. Total Appeal of A String,"['Hash Table', 'String', 'Dynamic Programming']",56.80%,Hard,23.563%;,22.5K,39.6K,
2263,2263. Make Array Non-decreasing or Non-increasing,"['Dynamic Programming', 'Greedy']",67.30%,Hard,0%;,950,1.4K,Y
2264,2264. Largest 3-Same-Digit Number in String,['String'],59.50%,Easy,11.1427%;,30.8K,51.8K,
2265,2265. Count Nodes Equal to Average of Subtree,"['Tree', 'Depth-First Search', 'Binary Tree']",85.20%,Medium,26.3196%;,37.7K,44.2K,
2266,2266. Count Number of Texts,"['Hash Table', 'Math', 'String', '1+']",47.10%,Medium,14.6633%;,14.9K,31.7K,
2267,2267. Check if There Is a Valid Parentheses String Path,"['Array', 'Dynamic Programming', 'Matrix']",38.00%,Hard,48.8886%;,12.4K,32.6K,
2268,2268. Minimum Number of Keypresses,"['Array', 'String', 'Greedy', '2+']",73.20%,Medium,57.4651%;,10.6K,14.5K,Y
2269,2269. Find the K-Beauty of a Number,"['Math', 'String', 'Sliding Window']",57.70%,Easy,26.154%;,34.7K,60.1K,
2270,2270. Number of Ways to Split Array,"['Array', 'Prefix Sum']",45.60%,Medium,22.8064%;,25.3K,55.5K,
2271,2271. Maximum White Tiles Covered by a Carpet,"['Array', 'Binary Search', 'Greedy', '2+']",33.00%,Medium,20.2551%;,13K,39.5K,
2272,2272. Substring With Largest Variance,"['Array', 'Dynamic Programming']",37.00%,Hard,98.9666%;,23.4K,63.3K,
2273,2273. Find Resultant Array After Removing Anagrams,"['Array', 'Hash Table', 'String', '1+']",58.40%,Easy,50.1313%;,38.5K,65.9K,
2274,2274. Maximum Consecutive Floors Without Special Floors,"['Array', 'Sorting']",52.10%,Medium,26.7558%;,25.3K,48.4K,
2275,2275. Largest Combination With Bitwise AND Greater Than Zero,"['Array', 'Hash Table', 'Bit Manipulation', '1+']",72.40%,Medium,40.3369%;,20.2K,27.9K,
2276,2276. Count Integers in Intervals,"['Design', 'Segment Tree', 'Ordered Set']",34.40%,Hard,50.5698%;,12.8K,37.2K,
2277,2277. Closest Node to Path in Tree,"['Array', 'Tree', 'Depth-First Search', '1+']",63.80%,Hard,0%;,2.5K,3.9K,Y
2278,2278. Percentage of Letter in String,['String'],73.90%,Easy,7.13202%;,47K,63.5K,
2279,2279. Maximum Bags With Full Capacity of Rocks,"['Array', 'Greedy', 'Sorting']",67.70%,Medium,73.5739%;,83.9K,123.8K,
2280,2280. Minimum Lines to Represent a Line Chart,"['Array', 'Math', 'Geometry', '2+']",24.30%,Medium,32.997%;,21.8K,89.9K,
2281,2281. Sum of Total Strength of Wizards,"['Array', 'Stack', 'Monotonic Stack', '1+']",27.30%,Hard,95.7605%;,13.9K,50.7K,
2282,2282. Number of People That Can Be Seen in a Grid,"['Array', 'Stack', 'Matrix', '1+']",49.60%,Medium,0%;,1.1K,2.3K,Y
2283,2283. Check if Number Has Equal Digit Count and Digit Value,"['Hash Table', 'String', 'Counting']",73.20%,Easy,3.34958%;,37.6K,51.4K,
2284,2284. Sender With Largest Word Count,"['Array', 'Hash Table', 'String', '1+']",56.10%,Medium,21.0327%;,25.8K,46K,
2285,2285. Maximum Total Importance of Roads,"['Greedy', 'Graph', 'Sorting', '1+']",60.70%,Medium,26.4%;,24.4K,40.1K,
2286,2286. Booking Concert Tickets in Groups,"['Binary Search', 'Design', '2+']",15.30%,Hard,0%;,4.4K,28.8K,
2287,2287. Rearrange Characters to Make Target String,"['Hash Table', 'String', 'Counting']",58.10%,Easy,40.6717%;,30.1K,51.8K,
2288,2288. Apply Discount to Prices,['String'],27.90%,Medium,34.5195%;,17.2K,61.5K,
2289,2289. Steps to Make Array Non-decreasing,"['Array', 'Linked List', 'Stack', '1+']",21.10%,Medium,44.2751%;,14.2K,67.2K,
2290,2290. Minimum Obstacle Removal to Reach Corner,"['Array', 'Breadth-First Search', 'Graph', '3+']",49.50%,Hard,27.3012%;,15.8K,32K,
2291,2291. Maximum Profit From Trading Stocks,"['Array', 'Dynamic Programming']",45.40%,Medium,72.8322%;,3.4K,7.6K,Y
2292,2292. Products With Three or More Orders in Two Consecutive Years,['Database'],39.20%,Medium,14.6633%;,3.6K,9.1K,Y
2293,2293. Min Max Game,"['Array', 'Simulation']",63.80%,Easy,19.1985%;,35.4K,55.6K,
2294,2294. Partition Array Such That Maximum Difference Is K,"['Array', 'Greedy', 'Sorting']",72.70%,Medium,29.9546%;,30.4K,41.8K,
2295,2295. Replace Elements in an Array,"['Array', 'Hash Table', 'Simulation']",57.60%,Medium,14.7277%;,27.6K,47.9K,
2296,2296. Design a Text Editor,"['Linked List', 'String', 'Stack', '3+']",40.70%,Hard,55.3406%;,15.7K,38.6K,
2297,2297. Jump Game VIII,"['Array', 'Dynamic Programming', 'Stack', '3+']",55.90%,Medium,28.4803%;,1.4K,2.6K,Y
2298,2298. Tasks Count in the Weekend,['Database'],84.60%,Medium,0%;,3.3K,3.9K,Y
2299,2299. Strong Password Checker II,['String'],56.30%,Easy,12.1414%;,29.9K,53K,
2300,2300. Successful Pairs of Spells and Potions,"['Array', 'Two Pointers', 'Binary Search', '1+']",32.50%,Medium,6.9361%;,22.3K,68.8K,
2301,2301. Match Substring After Replacement,"['Array', 'Hash Table', 'String', '1+']",39.40%,Hard,23.4761%;,11.1K,28.2K,
2302,2302. Count Subarrays With Score Less Than K,"['Array', 'Binary Search', 'Sliding Window', '1+']",52.20%,Hard,21.7694%;,16.1K,30.9K,
2303,2303. Calculate Amount Paid in Taxes,"['Array', 'Simulation']",64.10%,Easy,47.3288%;,28.6K,44.6K,
2304,2304. Minimum Path Cost in a Grid,"['Array', 'Dynamic Programming', 'Matrix']",65.80%,Medium,34.5195%;,21K,31.9K,
2305,2305. Fair Distribution of Cookies,"['Array', 'Dynamic Programming', '3+']",61.90%,Medium,18.7129%;,22.4K,36.1K,
2306,2306. Naming a Company,"['Array', 'Hash Table', 'String', '2+']",47.10%,Hard,72.7378%;,54.7K,116.1K,
2307,2307. Check for Contradictions in Equations,"['Array', 'Depth-First Search', 'Union Find', '1+']",43.70%,Hard,0%;,849,1.9K,Y
2308,2308. Arrange Table by Gender,['Database'],72.50%,Medium,16.6236%;,3K,4.1K,Y
2309,2309. Greatest English Letter in Upper and Lower Case,"['Hash Table', 'String', 'Enumeration']",68.80%,Easy,10.282%;,38K,55.3K,
2310,2310. Sum of Numbers With Units Digit K,"['Math', 'Dynamic Programming', 'Greedy', '1+']",25.80%,Medium,12.6554%;,21.3K,82.7K,
2311,2311. Longest Binary Subsequence Less Than or Equal to K,"['String', 'Dynamic Programming', 'Greedy', '1+']",37.10%,Medium,29.7983%;,18.2K,49K,
2312,2312. Selling Pieces of Wood,"['Array', 'Dynamic Programming', 'Memoization']",48.50%,Hard,24.193%;,7.8K,16K,
2313,2313. Minimum Flips in Binary Tree to Get Result,"['Dynamic Programming', 'Tree', '2+']",63.60%,Hard,0%;,1.1K,1.7K,Y
2314,2314. The First Day of the Maximum Recorded Degree in Each City,['Database'],72.90%,Medium,0%;,2.8K,3.9K,Y
2315,2315. Count Asterisks,['String'],82.10%,Easy,27.5667%;,42.5K,51.7K,
2316,2316. Count Unreachable Pairs of Nodes in an Undirected Graph,"['Depth-First Search', 'Breadth-First Search', '2+']",38.90%,Medium,26.4%;,21.7K,55.8K,
2317,2317. Maximum XOR After Operations,"['Array', 'Math', 'Bit Manipulation']",79.20%,Medium,13.7578%;,16.8K,21.3K,
2318,2318. Number of Distinct Roll Sequences,"['Dynamic Programming', 'Memoization']",56.30%,Hard,20.2551%;,8.3K,14.8K,
2319,2319. Check if Matrix Is X-Matrix,"['Array', 'Matrix']",66.70%,Easy,33.8926%;,36.7K,54.9K,
2320,2320. Count Number of Ways to Place Houses,['Dynamic Programming'],40.60%,Medium,15.2639%;,21.8K,53.5K,
2321,2321. Maximum Score Of Spliced Array,"['Array', 'Dynamic Programming']",55.80%,Hard,36.1283%;,15.4K,27.5K,
2322,2322. Minimum Score After Removals on a Tree,"['Array', 'Bit Manipulation', 'Tree', '1+']",50.80%,Hard,49.6993%;,5.4K,10.6K,
2323,2323. Find Minimum Time to Finish All Jobs II,"['Array', 'Greedy', 'Sorting']",73.90%,Medium,0%;,1.6K,2.1K,Y
2324,2324. Product Sales Analysis IV,['Database'],77.80%,Medium,0%;,3.5K,4.4K,Y
2325,2325. Decode the Message,"['Hash Table', 'String']",84.70%,Easy,29.6318%;,53.6K,63.3K,
2326,2326. Spiral Matrix IV,"['Array', 'Linked List', 'Matrix', '1+']",74.70%,Medium,23.0424%;,26.1K,34.9K,
2327,2327. Number of People Aware of a Secret,"['Dynamic Programming', 'Queue', 'Simulation']",44.80%,Medium,39.6173%;,16.8K,37.4K,
2328,2328. Number of Increasing Paths in a Grid,"['Array', 'Dynamic Programming', '6+']",47.60%,Hard,35.9968%;,16.5K,34.6K,
2329,2329. Product Sales Analysis V,['Database'],68.50%,Easy,0%;,3.8K,5.5K,Y
2330,2330. Valid Palindrome IV,"['Two Pointers', 'String']",75.70%,Medium,0%;,2.6K,3.5K,Y
2331,2331. Evaluate Boolean Binary Tree,"['Tree', 'Depth-First Search', 'Binary Tree']",78.50%,Easy,18.0555%;,43.5K,55.4K,
2332,2332. The Latest Time to Catch a Bus,"['Array', 'Two Pointers', 'Binary Search', '1+']",23.40%,Medium,45.7869%;,13.2K,56.4K,
2333,2333. Minimum Sum of Squared Difference,"['Array', 'Math', 'Sorting', '1+']",25.50%,Medium,12.232%;,11K,43K,
2334,2334. Subarray With Elements Greater Than Varying Threshold,"['Array', 'Stack', 'Union Find', '1+']",41.20%,Hard,42.122%;,5.9K,14.4K,
2335,2335. Minimum Amount of Time to Fill Cups,"['Array', 'Greedy', 'Sorting', '1+']",56.30%,Easy,18.2526%;,33.5K,59.5K,
2336,2336. Smallest Number in Infinite Set,"['Hash Table', 'Design', 'Heap (Priority Queue)']",71.30%,Medium,13.9886%;,28.1K,39.4K,
2337,2337. Move Pieces to Obtain a String,"['Two Pointers', 'String']",48.00%,Medium,38.2904%;,20.6K,43K,
2338,2338. Count the Number of Ideal Arrays,"['Math', 'Dynamic Programming', '2+']",26.30%,Hard,0%;,4.7K,17.9K,
2339,2339. All the Matches of the League,['Database'],88.00%,Easy,0%;,4.1K,4.6K,Y
2340,2340. Minimum Adjacent Swaps to Make a Valid Array,"['Array', 'Greedy']",75.10%,Medium,70.686%;,6.2K,8.2K,Y
2341,2341. Maximum Number of Pairs in Array,"['Array', 'Hash Table', 'Counting']",76.00%,Easy,19.7704%;,46.3K,60.9K,
2342,2342. Max Sum of a Pair With Equal Sum of Digits,"['Array', 'Hash Table', 'Sorting', '1+']",53.40%,Medium,38.1402%;,31.5K,59K,
2343,2343. Query Kth Smallest Trimmed Number,"['Array', 'String', 'Divide and Conquer', '4+']",41.30%,Medium,20.2551%;,20.8K,50.2K,
2344,2344. Minimum Deletions to Make Array Divisible,"['Array', 'Math', 'Sorting', '2+']",56.80%,Hard,36.272%;,23.1K,40.6K,
2345,2345. Finding the Number of Visible Mountains,"['Array', 'Stack', 'Sorting', '1+']",42.30%,Medium,43.3256%;,3.3K,7.7K,Y
2346,2346. Compute the Rank as a Percentage,['Database'],32.70%,Medium,0%;,2.2K,6.7K,Y
2347,2347. Best Poker Hand,"['Array', 'Hash Table', 'Counting']",60.60%,Easy,29.9546%;,29.6K,48.8K,
2348,2348. Number of Zero-Filled Subarrays,"['Array', 'Math']",57.80%,Medium,6.35005%;,28.5K,49.2K,
2349,2349. Design a Number Container System,"['Hash Table', 'Design', '2+']",45.90%,Medium,22.8064%;,18.3K,39.8K,
2350,2350. Shortest Impossible Sequence of Rolls,"['Array', 'Hash Table', 'Greedy']",68.30%,Hard,38.9364%;,11.5K,16.9K,
2351,2351. First Letter to Appear Twice,"['Hash Table', 'String', 'Counting']",75.00%,Easy,34.1541%;,67.3K,89.7K,
2352,2352. Equal Row and Column Pairs,"['Array', 'Hash Table', 'Matrix', '1+']",70.70%,Medium,10.1499%;,33.6K,47.5K,
2353,2353. Design a Food Rating System,"['Hash Table', 'Design', '2+']",34.70%,Medium,18.6606%;,16.1K,46.6K,
2354,2354. Number of Excellent Pairs,"['Array', 'Hash Table', 'Binary Search', '1+']",46.00%,Hard,36.5316%;,11.8K,25.7K,
2355,2355. Maximum Number of Books You Can Take,"['Array', 'Dynamic Programming', 'Stack', '1+']",44.00%,Hard,80.8033%;,4K,9.1K,Y
2356,2356. Number of Unique Subjects Taught by Each Teacher,['Database'],90.30%,Easy,12.6554%;,4.7K,5.2K,Y
2357,2357. Make Array Zero by Subtracting Equal Amounts,"['Array', 'Hash Table', 'Greedy', '3+']",72.70%,Easy,57.2225%;,62.5K,86K,
2358,2358. Maximum Number of Groups Entering a Competition,"['Array', 'Math', 'Binary Search', '1+']",67.70%,Medium,14.2269%;,28.6K,42.2K,
2359,2359. Find Closest Node to Given Two Nodes,"['Depth-First Search', 'Graph']",46.20%,Medium,70.6397%;,66.2K,143.3K,
2360,2360. Longest Cycle in a Graph,"['Depth-First Search', 'Graph', 'Topological Sort']",38.90%,Hard,45.1267%;,17.6K,45.3K,
2361,2361. Minimum Costs Using the Train Line,"['Array', 'Dynamic Programming']",76.00%,Hard,71.4133%;,4K,5.3K,Y
2362,2362. Generate the Invoice,['Database'],80.50%,Hard,0%;,1.6K,1.9K,Y
2363,2363. Merge Similar Items,"['Array', 'Hash Table', 'Sorting', '1+']",75.50%,Easy,13.2244%;,35K,46.3K,
2364,2364. Count Number of Bad Pairs,"['Array', 'Hash Table']",41.10%,Medium,15.5827%;,22.4K,54.6K,
2365,2365. Task Scheduler II,"['Array', 'Hash Table', 'Simulation']",46.80%,Medium,41.9109%;,17.6K,37.7K,
2366,2366. Minimum Replacements to Sort the Array,"['Array', 'Math', 'Greedy']",40.90%,Hard,19.1985%;,9.6K,23.4K,
2367,2367. Number of Arithmetic Triplets,"['Array', 'Hash Table', 'Two Pointers', '1+']",83.60%,Easy,28.3792%;,65.3K,78.1K,
2368,2368. Reachable Nodes With Restrictions,"['Array', 'Hash Table', 'Tree', '3+']",57.80%,Medium,21.704%;,31.3K,54.2K,
2369,2369. Check if There is a Valid Partition For The Array,"['Array', 'Dynamic Programming']",40.10%,Medium,41.0997%;,19K,47.2K,
2370,2370. Longest Ideal Subsequence,"['Hash Table', 'String', 'Dynamic Programming']",37.70%,Medium,29.1201%;,18.6K,49.4K,
